Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000-03:00,00:15:00.000-03:00,,,5.046011120070575,,,,,,,,,,8,,,
00:15:00.000-03:00,00:30:00.000-03:00,,,17.549245685349348,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,28,,,
00:30:00.000-03:00,00:45:00.000-03:00,,,,,,,,,,,,,,,,
00:45:00.000-03:00,01:00:00.000-03:00,,,24.47819423675537,,,,,,,0.433814138174057,0.5538052916526794,0.31382298469543457,39,,,
01:00:00.000-03:00,01:15:00.000-03:00,,,,,,,,,,,,,,,,
01:15:00.000-03:00,01:30:00.000-03:00,,,,,,,,,,,,,,,,
01:30:00.000-03:00,01:45:00.000-03:00,,,,,,,,,,,,,,,,
01:45:00.000-03:00,02:00:00.000-03:00,,,,,,,,,,,,,,,,
02:00:00.000-03:00,02:15:00.000-03:00,,,,,,,,,,,,,,,,
02:15:00.000-03:00,02:30:00.000-03:00,,,,,,,,,,,,,,,,
02:30:00.000-03:00,02:45:00.000-03:00,,,,,,,,,,,,,22,,,
02:45:00.000-03:00,03:00:00.000-03:00,,,22.595256805419922,,,,,,,0.31382298469543457,0.31382298469543457,0.31382298469543457,36,,,
03:00:00.000-03:00,03:15:00.000-03:00,,,,,,,,,,,,,,,,
03:15:00.000-03:00,03:30:00.000-03:00,,,,,,,,,,,,,,,,
03:30:00.000-03:00,03:45:00.000-03:00,,,,,,,,,,,,,,,,
03:45:00.000-03:00,04:00:00.000-03:00,,,,,,,,,,,,,,,,
04:00:00.000-03:00,04:15:00.000-03:00,,,,,,,,,,,,,,,,
04:15:00.000-03:00,04:30:00.000-03:00,,,,,,,,,,,,,,,,
04:30:00.000-03:00,04:45:00.000-03:00,,,,,,,,,,,,,,,,
04:45:00.000-03:00,05:00:00.000-03:00,,,,,,,,,,,,,,,,
05:00:00.000-03:00,05:15:00.000-03:00,,,,,,,,,,,,,,,,
05:15:00.000-03:00,05:30:00.000-03:00,,,,,,,,,,,,,,,,
05:30:00.000-03:00,05:45:00.000-03:00,,,,,,,,,,,,,,,,
05:45:00.000-03:00,06:00:00.000-03:00,,,,,,,,,,,,,,,,
06:00:00.000-03:00,06:15:00.000-03:00,,,,,,,,,,,,,,,,
06:15:00.000-03:00,06:30:00.000-03:00,,,,,,,,,,,,,,,,
06:30:00.000-03:00,06:45:00.000-03:00,,,,,,,,,,,,,,,,
06:45:00.000-03:00,07:00:00.000-03:00,,,,,,,,,,,,,,,,
07:00:00.000-03:00,07:15:00.000-03:00,,,,,,,,,,,,,,,,
07:15:00.000-03:00,07:30:00.000-03:00,,,,,,,,,,,,,,,,
07:30:00.000-03:00,07:45:00.000-03:00,,,,,,,,,,,,,,,,
07:45:00.000-03:00,08:00:00.000-03:00,,,,,,,,,,,,,,,,
08:00:00.000-03:00,08:15:00.000-03:00,,,,,,,,,,,,,,,,
08:15:00.000-03:00,08:30:00.000-03:00,,,,,,,,,,,,,,,,
08:30:00.000-03:00,08:45:00.000-03:00,,,,,,,,,,,,,,,,
08:45:00.000-03:00,09:00:00.000-03:00,,,,,,,,,,,,,,,,
09:00:00.000-03:00,09:15:00.000-03:00,,,,,,,,,,,,,,,,
09:15:00.000-03:00,09:30:00.000-03:00,,,,,,,,,,,,,,,,
09:30:00.000-03:00,09:45:00.000-03:00,,,,,,,,,,,,,,,,
